epoch_no,train_loss,train_classification_accuracy,train_f1,train_accuracy_global,train_precision_global,train_recall_global,train_f1_global,train_specificity_global,train_accuracy_per_class,train_precision_per_class,train_recall_per_class,train_f1_per_class,train_specificity_per_class,train_accuracy_per_class_average,train_precision_per_class_average,train_recall_per_class_average,train_f1_per_class_average,train_specificity_per_class_average,train_accuracy_per_class_weighted,train_precision_per_class_weighted,train_recall_per_class_weighted,train_f1_per_class_weighted,train_specificity_per_class_weighted,train_mcc
0,1.190600042740504,0.35833333333333334,0.3083333384990692,0.3583333194255829,0.3583333194255829,0.3583333194255829,0.3583333194255829,0.6791666746139526,0.2549999952316284_0.014999999664723873_0.8050000071525574,0.5_0.1428571492433548_0.33752620220184326,0.2549999952316284_0.014999999664723873_0.8050000071525574,0.33774834871292114_0.027149321511387825_0.4756277799606323,0.8725000023841858_0.9549999833106995_0.20999999344348907,0.3583333492279053,0.32679444551467896,0.3583333492279053,0.2801751494407654,0.6791666150093079,0.3583333492279053,0.32679444551467896,0.3583333492279053,0.2801751494407654,0.6791666150093079,0.05267731845378876
1,1.2157102640469868,0.33666666666666667,0.266111115415891,0.33666667342185974,0.33666667342185974,0.33666667342185974,0.33666667342185974,0.6683333516120911,0.014999999664723873_0.0_0.9950000047683716,0.5_0.0_0.3350168466567993,0.014999999664723873_0.0_0.9950000047683716,0.029126213863492012_0.0_0.501259446144104,0.9925000071525574_1.0_0.012500000186264515,0.33666667342185974,0.2783389687538147,0.33666667342185974,0.17679521441459656,0.6683333516120911,0.33666667342185974,0.2783389687538147,0.33666667342185974,0.17679521441459656,0.6683333516120911,0.02901294268667698
2,1.2181114355723064,0.3333333333333333,0.2600000043710073,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
3,1.2181114355723064,0.3333333333333333,0.2522222270568212,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
4,1.2181114355723064,0.3333333333333333,0.2577777822812398,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
5,1.2181114355723064,0.3333333333333333,0.261111115415891,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
6,1.2181114355723064,0.3333333333333333,0.2577777822812398,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
7,1.2181114355723064,0.3333333333333333,0.2577777822812398,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
8,1.2181114355723064,0.3333333333333333,0.26222222646077475,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
9,1.2181114355723064,0.3333333333333333,0.27000000377496086,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
10,1.2181114355723064,0.3333333333333333,0.2588888933261236,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
11,1.2181114355723064,0.3333333333333333,0.26222222646077475,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
12,1.2181114355723064,0.3333333333333333,0.2655555595954259,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
13,1.2181114355723064,0.3333333333333333,0.25555556019147235,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
14,1.2181114355723064,0.3333333333333333,0.2600000043710073,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
15,1.2181114355723064,0.3333333333333333,0.2588888933261236,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
16,1.2181114355723064,0.3333333333333333,0.261111115415891,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
17,1.2181114355723064,0.3333333333333333,0.2600000043710073,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
18,1.2181114355723064,0.3333333333333333,0.261111115415891,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
19,1.2181114355723064,0.3333333333333333,0.2566666712363561,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
20,1.2181114355723064,0.3333333333333333,0.2600000043710073,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
21,1.2181114355723064,0.3333333333333333,0.2655555595954259,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
22,1.2181114355723064,0.3333333333333333,0.26333333750565846,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
23,1.2181114355723064,0.3333333333333333,0.2577777822812398,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
24,1.2181114355723064,0.3333333333333333,0.261111115415891,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
25,1.2181114355723064,0.3333333333333333,0.2644444485505422,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
26,1.2181114355723064,0.3333333333333333,0.2588888933261236,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
27,1.2181114355723064,0.3333333333333333,0.2600000043710073,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
28,1.2181114355723064,0.3333333333333333,0.26333333750565846,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
29,1.2181114355723064,0.3333333333333333,0.2600000043710073,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
30,1.2181114355723064,0.3333333333333333,0.26222222646077475,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
31,1.2181114355723064,0.3333333333333333,0.2588888933261236,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
32,1.2181114355723064,0.3333333333333333,0.26333333750565846,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
33,1.2181114355723064,0.3333333333333333,0.2600000043710073,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
34,1.2181114355723064,0.3333333333333333,0.26222222646077475,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
35,1.2181114355723064,0.3333333333333333,0.25555556019147235,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
36,1.2181114355723064,0.3333333333333333,0.261111115415891,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
37,1.2181114355723064,0.3333333333333333,0.26666667064030963,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
38,1.2181114355723064,0.3333333333333333,0.2655555595954259,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
39,1.2181114355723064,0.3333333333333333,0.26333333750565846,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
40,1.2181114355723064,0.3333333333333333,0.26333333750565846,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
41,1.2181114355723064,0.3333333333333333,0.26222222646077475,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
42,1.2181114355723064,0.3333333333333333,0.26333333750565846,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
43,1.2181114355723064,0.3333333333333333,0.2644444485505422,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
44,1.2181114355723064,0.3333333333333333,0.2677777816851934,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
45,1.2181114355723064,0.3333333333333333,0.25555556019147235,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
46,1.2181114355723064,0.3333333333333333,0.25555556019147235,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
47,1.2181114355723064,0.3333333333333333,0.2677777816851934,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.0_0.0_1.0,0.0_0.0_0.3333333432674408,0.0_0.0_1.0,0.0_0.0_0.5,1.0_1.0_0.0,0.3333333432674408,0.1111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0.3333333432674408,0.111111119389534,0.3333333432674408,0.1666666716337204,0.6666666865348816,0
